Workload Size (i*j*k),Turnaround Time in Nanoseconds
50204770,39534523
92340378,25092290
58499496,37587018
5377437,14548774
38046360,16701251
4667194,6336892
127081500,58487373
16102800,8326891
358857408,100226045
15212560,12571769
378221200,87625831
26511670,31426597
93967328,35413928
192435580,39703032
39632460,33444599
145535456,64626413
77923560,33410117
23844744,16596222
9763245,54340929
32432400,14598391
192288685,41686099
353714298,77243099
49826048,37432200
144739360,47989088
46066020,49916830
62463423,56301716
76053648,27195095
107158590,47933627
354240,4253027
156186800,31082952
38779884,22974468
71329545,96143891
61401844,43809930
135720000,33382311
9247392,8358461
291565300,77215572
265713168,60527589
246348288,56154437
175317804,49635733
23564016,10444168
5215120,14662277
271320000,64683047
3794304,64668160
101547636,45900855
69141150,22927278
10553816,14472515
247333680,73056570
6705160,10391023
43768032,27219806
29805984,14652814
65084112,20881587
501774,14606117
53858532,29261678
59216820,81405945
211128786,62071341
10808532,8331611
318918600,77147693
153959565,56338806
244977536,60413620
284019692,88887620
117093600,41778489
194158134,52101589
646513560,116674238
64155816,43797336
62326080,39699395
9440865,14647690
6541260,20916777
5160096,12479240
126489600,74897454
100575000,39283596
899493,12634225
126438360,50046474
42017976,18621497
115950912,41726910
359419075,163285393
11302200,12634320
69307854,41698576
12031000,20923976
158733429,52026705
11447036,14462331
154109930,73140305
93396240,25043851
43806,2092525
48594375,29163634
37463832,33452132
138528,4220277
108655300,46004044
63595836,22987710
257938989,70838879
563533920,108231173
200416788,62645501
330072408,93821862
178790040,52004629
172140822,43754306
48792249,50073440
229001661,54255580
24758442,16740072
25993500,31245797
23924436,25061390
2151020,6247731
76291992,25026554
15567444,16633624
320021850,60392452
331357312,83474589
3076000,33387494
39139209,33292225
89320560,33282737
252497790,105595553
8615300,20857371
92380992,49982543
37206065,12547728
142297688,52050069
22987488,39598023
2406250,6301195
80477320,33311952
90496720,66698269
8108110,12430607
105702291,39693963
8418672,20884851
23891028,10492751
25035352,35406233
300756864,81210607
5930786,8334657
7979661,31226261
69814563,31358832
43088463,41689794
8001004,10328781
468907845,100059069
51139760,37218107
71481600,27118633
76202496,35396445
137515680,41681690
137323252,45860894
162779760,72851981
16594431,8327200
24419940,35536742
188249600,39645166
12142080,12500882
80763408,56191943
164631060,64596652
210385968,62636867
136344,6215348
42623760,37527253
455168840,97964956
18445680,8330827
208551760,68776114
114259860,51977205
20623176,24994448
511864560,114431879
7875630,18781085
4045748,8393458
57158304,16703112
18911844,10439474
74323678,20786780
8749026,10407410
48432672,39602498
136130940,43817072
113942241,33417464
